"index","bottlecode","wvl","abs"
628,"1190-16",226,0.2992
629,"1190-16",227,0.2942
630,"1190-16",228,0.2886
631,"1190-16",229,0.283
632,"1190-16",230,0.2781
633,"1190-16",231,0.2732
634,"1190-16",232,0.2682
635,"1190-16",233,0.263
636,"1190-16",234,0.2584
637,"1190-16",235,0.254
638,"1190-16",236,0.25
639,"1190-16",237,0.2453
640,"1190-16",238,0.2416
641,"1190-16",239,0.2386
642,"1190-16",240,0.2345
643,"1190-16",241,0.2316
644,"1190-16",242,0.2289
645,"1190-16",243,0.2262
646,"1190-16",244,0.2237
647,"1190-16",245,0.2212
648,"1190-16",246,0.2192
649,"1190-16",247,0.2167
650,"1190-16",248,0.2148
651,"1190-16",249,0.2132
652,"1190-16",250,0.2109
653,"1190-16",251,0.2094
654,"1190-16",252,0.2078
655,"1190-16",253,0.2055
656,"1190-16",254,0.2044
657,"1190-16",255,0.2027
658,"1190-16",256,0.201
659,"1190-16",257,0.1996
660,"1190-16",258,0.198
661,"1190-16",259,0.1964
662,"1190-16",260,0.195
663,"1190-16",261,0.1935
664,"1190-16",262,0.1918
665,"1190-16",263,0.1897
666,"1190-16",264,0.1888
667,"1190-16",265,0.1864
668,"1190-16",266,0.1854
669,"1190-16",267,0.1836
670,"1190-16",268,0.182
671,"1190-16",269,0.1813
672,"1190-16",270,0.1791
673,"1190-16",271,0.177
674,"1190-16",272,0.1751
675,"1190-16",273,0.1736
676,"1190-16",274,0.1713
677,"1190-16",275,0.1691
678,"1190-16",276,0.1672
679,"1190-16",277,0.1646
680,"1190-16",278,0.1625
681,"1190-16",279,0.1606
682,"1190-16",280,0.1584
683,"1190-16",281,0.1561
684,"1190-16",282,0.154
685,"1190-16",283,0.1515
686,"1190-16",284,0.1489
687,"1190-16",285,0.1469
688,"1190-16",286,0.1443
689,"1190-16",287,0.1423
690,"1190-16",288,0.1397
691,"1190-16",289,0.1377
692,"1190-16",290,0.1349
693,"1190-16",291,0.1329
694,"1190-16",292,0.1306
695,"1190-16",293,0.1284
696,"1190-16",294,0.1262
697,"1190-16",295,0.1237
698,"1190-16",296,0.1211
699,"1190-16",297,0.1192
700,"1190-16",298,0.1171
701,"1190-16",299,0.1151
702,"1190-16",300,0.1135
703,"1190-16",301,0.1116
704,"1190-16",302,0.1097
705,"1190-16",303,0.1077
706,"1190-16",304,0.1067
707,"1190-16",305,0.1054
708,"1190-16",306,0.1038
709,"1190-16",307,0.1028
710,"1190-16",308,0.1013
711,"1190-16",309,0.0993
712,"1190-16",310,0.0992
713,"1190-16",311,0.0977
714,"1190-16",312,0.0963
715,"1190-16",313,0.0953
716,"1190-16",314,0.0943
717,"1190-16",315,0.0931
718,"1190-16",316,0.0927
719,"1190-16",317,0.0915
720,"1190-16",318,0.0907
721,"1190-16",319,0.0901
722,"1190-16",320,0.0892
723,"1190-16",321,0.0897
724,"1190-16",322,0.0883
725,"1190-16",323,0.0874
726,"1190-16",324,0.0868
727,"1190-16",325,0.0858
728,"1190-16",326,0.0853
729,"1190-16",327,0.0844
730,"1190-16",328,0.0841
731,"1190-16",329,0.0829
732,"1190-16",330,0.0826
733,"1190-16",331,0.082
734,"1190-16",332,0.0815
735,"1190-16",333,0.0806
736,"1190-16",334,0.0806
737,"1190-16",335,0.0798
738,"1190-16",336,0.0791
739,"1190-16",337,0.0788
740,"1190-16",338,0.0778
741,"1190-16",339,0.0775
742,"1190-16",340,0.0773
743,"1190-16",341,0.0768
744,"1190-16",342,0.076
745,"1190-16",343,0.0752
746,"1190-16",344,0.0747
747,"1190-16",345,0.0744
748,"1190-16",346,0.0738
749,"1190-16",347,0.073
750,"1190-16",348,0.0725
751,"1190-16",349,0.0724
752,"1190-16",350,0.0716
753,"1190-16",351,0.0715
754,"1190-16",352,0.0705
755,"1190-16",353,0.0703
756,"1190-16",354,0.07
757,"1190-16",355,0.0697
758,"1190-16",356,0.0694
759,"1190-16",357,0.0695
760,"1190-16",358,0.0679
761,"1190-16",359,0.0676
762,"1190-16",360,0.0681
763,"1190-16",361,0.0675
764,"1190-16",362,0.0681
765,"1190-16",363,0.0682
766,"1190-16",364,0.0671
767,"1190-16",365,0.0673
768,"1190-16",366,0.0655
769,"1190-16",367,0.0659
770,"1190-16",368,0.0644
771,"1190-16",369,0.0653
772,"1190-16",370,0.0647
773,"1190-16",371,0.0643
774,"1190-16",372,0.064
775,"1190-16",373,0.064
776,"1190-16",374,0.0634
777,"1190-16",375,0.063
778,"1190-16",376,0.0626
779,"1190-16",377,0.0629
780,"1190-16",378,0.062
781,"1190-16",379,0.062
782,"1190-16",380,0.0615
783,"1190-16",381,0.0613
784,"1190-16",382,0.0609
785,"1190-16",383,0.0603
786,"1190-16",384,0.0601
787,"1190-16",385,0.0599
788,"1190-16",386,0.0591
789,"1190-16",387,0.0601
790,"1190-16",388,0.0593
791,"1190-16",389,0.0589
792,"1190-16",390,0.0585
793,"1190-16",391,0.0579
794,"1190-16",392,0.058
795,"1190-16",393,0.0573
796,"1190-16",394,0.0568
797,"1190-16",395,0.0566
798,"1190-16",396,0.0564
799,"1190-16",397,0.0562
800,"1190-16",398,0.0562
801,"1190-16",399,0.056
802,"1190-16",400,0.0556
803,"1190-16",401,0.0552
804,"1190-16",402,0.055
805,"1190-16",403,0.0547
806,"1190-16",404,0.0547
807,"1190-16",405,0.0542
808,"1190-16",406,0.0542
809,"1190-16",407,0.0542
810,"1190-16",408,0.0536
811,"1190-16",409,0.0534
812,"1190-16",410,0.0533
813,"1190-16",411,0.0531
